9.999999999999999988e-15 1.782957598878647361e-20 9.356604872286861649e-12
1.000644944608168531e-14 1.784616968423868483e-20 9.362639364161505567e-12
1.001290305169884440e-14 1.787646678976057337e-20 9.368677747949165548e-12
1.001936081953411080e-14 1.790445199009386154e-20 9.374720026159874309e-12
1.002582275227196238e-14 1.793361980020915912e-20 9.380766201305391628e-12
1.003228885259849261e-14 1.796280861295719731e-20 9.386816275898987859e-12
1.003875912320156517e-14 1.799669232191632748e-20 9.392870252455590949e-12
1.004523356677073348e-14 1.802591344640704352e-20 9.398928133491718580e-12
1.005171218599741581e-14 1.805282266570915920e-20 9.404989921525609037e-12
1.005819498357463656e-14 1.808442516563523298e-20 9.411055619077030564e-12
1.006468196219719823e-14 1.811605189936831515e-20 9.417125228667399305e-12
1.007117312456160726e-14 1.814066375376603551e-20 9.423198752819730835e-12
1.007766847336622391e-14 1.817115796091825894e-20 9.429276194058769407e-12
1.008416801131103032e-14 1.820753936758638712e-20 9.435357554910789235e-12
1.009067174109779148e-14 1.823689620139635014e-20 9.441442837903725358e-12
1.009717966542996684e-14 1.826509789040557993e-20 9.447532045567092856e-12
1.010369178701289493e-14 1.829449511389389026e-20 9.453625180432169419e-12
1.011020810855352355e-14 1.832743855114109493e-20 9.459722245031743307e-12
1.011672863276059750e-14 1.835687131754635090e-20 9.465823241900279761e-12
1.012325336234455925e-14 1.838632347099721358e-20 9.471928173573830529e-12
1.012978230001772401e-14 1.841697600568855849e-20 9.478037042590200270e-12
1.013631544849404149e-14 1.844882730603325174e-20 9.484149851488728452e-12
1.014285281048924268e-14 1.847833762062093456e-20 9.490266602810415366e-12
1.014939438872077195e-14 1.850904670086196571e-20 9.496387299097868812e-12
1.015594018590795275e-14 1.853859578954086195e-20 9.502511942895447886e-12
1.016249020477173359e-14 1.856934364387310653e-20 9.508640536749040031e-12
1.016904444803486629e-14 1.860129834179436890e-20 9.514773083206214515e-12
1.017560291842180979e-14 1.863208658580496079e-20 9.520909584816143268e-12
1.018216561865890998e-14 1.866289744803542718e-20 9.527050044129755980e-12
1.018873255147414253e-14 1.869728522018033186e-20 9.533194463699515533e-12
