0.851 0.257	1.476 0.206
0.466 0.579	1.171 0.093
0.556 0.053	1.308 0.016
0.484 0.028	1.323 0.024
0.622 0.106	1.247 0.035
0.872 0.084	0.802 0.012
0.615 0.106	1.171 0.075
0.644 0.353	1.299 0.094
0.978 0.255	1.528 0.179
0.539 0.055	1.273 0.029
0.439 0.063	1.274 0.069
0.663 0.067	1.244 0.026
0.426 0.081	1.158 0.075
0.430 0.117	1.074 0.133
1.079 0.409	1.275 0.121
0.417 0.183	1.316 0.069
