0.612 0.088	1.237 0.068
0.597 0.182	1.387 0.196
0.703 0.596	2.771 1.153
0.587 0.060	1.144 0.025
0.506 0.104	2.858 0.126
0.674 0.260	2.282 0.419
0.490 0.080	1.034 0.059
0.935 0.153	0.840 0.049
0.638 0.312	1.501 0.346
0.706 0.117	1.408 0.096
0.512 0.101	1.285 0.103
0.510 0.060	1.239 0.045
0.806 0.106	1.005 0.031
0.572 0.101	1.282 0.096
0.725 0.104	1.378 0.059
0.565 0.104	1.274 0.102
0.744 0.227	1.584 0.224
0.847 0.218	1.507 0.181
0.528 0.060	1.176 0.039
