# nc R M full-envelope
1.200000000000000703e-11 1.825920000099977187e+04 5.540049028937569370e-02
1.391033777057627424e-11 1.796480000099970493e+04 6.015936105340472656e-02
1.612479140762679750e-11 1.766400000099963654e+04 6.527392587807066826e-02
1.869177458001455290e-11 1.736320000099956815e+04 7.076949243848347504e-02
2.166740816162281112e-11 1.705600000099949830e+04 7.666827099359303788e-02
2.511674717842618530e-11 1.674880000099942845e+04 8.299758327306978878e-02
2.911520307917316773e-11 1.643520000099935714e+04 8.978181948691459080e-02
3.375019242418507542e-11 1.612800000099935824e+04 9.705180039660207814e-02
3.912304803686321175e-11 1.581440000099937606e+04 1.048318724260112189e-01
4.535123440060399586e-11 1.550720000099939352e+04 1.131540277735983979e-01
5.257091573541516385e-11 1.519360000099941135e+04 1.220440179484822280e-01
6.093993289901063552e-11 1.488640000099942881e+04 1.315343351978853770e-01
7.064125419512423045e-11 1.457920000099944627e+04 1.416527183332254580e-01
8.188697553260963426e-11 1.427840000099946337e+04 1.524296448509668833e-01
9.492295738912657007e-11 1.397760000099948047e+04 1.638921684910884802e-01
1.100341999553974017e-10 1.367680000099949757e+04 1.760678754565943860e-01
1.275510739745587948e-10 1.337600000099951467e+04 1.889830128613617100e-01
1.478565434988233020e-10 1.308160000099953140e+04 2.026631809348658497e-01
1.713945384715445297e-10 1.279360000099954777e+04 2.171303857352024080e-01
1.986796601809343756e-10 1.250560000099956414e+04 2.324027974471204183e-01
2.303084317716757172e-10 1.221760000099958052e+04 2.484964672808399611e-01
2.669723397796450207e-10 1.193600000099959652e+04 2.653702961853638409e-01
3.094729518113263739e-10 1.184640000099960162e+04 2.710114185947091192e-01
3.587394408794017977e-10 1.165440000099961253e+04 2.814655760506268312e-01
4.158488995216794783e-10 1.141120000099962635e+04 2.893155534490716718e-01
4.820498878224180149e-10 1.111680000099964309e+04 2.975851070838159695e-01
5.587897301565193508e-10 1.080320000099966092e+04 3.065049713352244742e-01
6.477461574338625229e-10 1.048320000099967911e+04 3.169376205093119014e-01
7.508639866248277741e-10 1.016320000099969729e+04 3.287115698311091627e-01
8.703976394760677762e-10 9.836800000999715849e+03 3.409836647910172713e-01
1.008960429985364126e-09 9.529600000999733311e+03 3.555756400012308749e-01
1.169581698186856423e-09 9.222400000999750773e+03 3.704313452784959160e-01
1.355773039338613328e-09 8.928000000999767508e+03 3.864859908084162798e-01
1.571605076453414028e-09 8.640000000999783879e+03 4.034146616105234728e-01
1.821796454618277119e-09 8.364800000999799522e+03 4.211500222999213228e-01
2.111817002748212178e-09 8.102400000999813528e+03 4.395822585214523293e-01
2.448007318156144684e-09 7.840000000999828444e+03 4.581958918994455399e-01
2.837717388366210502e-09 7.596800000999842268e+03 4.778450009011869781e-01
3.289467280800961155e-09 7.360000000999855729e+03 4.978366935475967425e-01
3.813133413433367128e-09 7.129600000999868826e+03 5.179635827098990619e-01
4.420164478760714560e-09 6.905600000999881559e+03 5.382237712379429606e-01
5.123831741755413303e-09 6.694400000999893564e+03 5.586963595574452324e-01
5.939519183951492086e-09 6.489600000999905205e+03 5.791811422219842465e-01
6.885059836965229340e-09 6.284800000999916847e+03 5.996315628992477942e-01
7.981125658567956619e-09 6.092800000999927761e+03 6.199071014454911044e-01
9.251679475007767933e-09 5.900800000999938675e+03 6.400041003864030964e-01
1.072449887020547793e-08 5.715200000999949225e+03 6.598687859241900711e-01
1.243178347539350318e-08 5.536000000999959411e+03 6.794598097078035082e-01
1.441085893611603945e-08 5.363200000999969234e+03 6.986775860549128137e-01
1.670499294712511717e-08 5.190400000999979056e+03 7.174744560912218461e-01
1.936434119580038761e-08 5.024000000999988515e+03 7.358212599575708612e-01
2.244704389485571896e-08 4.864000000999997610e+03 7.536731133695244722e-01
2.602049687736629230e-08 4.710400001000006341e+03 7.710530885491043707e-01
3.016282504353250788e-08 4.556800001000015072e+03 7.878535317662825888e-01
3.496459037252782726e-08 4.409600001000023440e+03 8.040982100218395656e-01
4.053077184097517000e-08 4.262400001000031807e+03 8.197574821330210204e-01
4.698306053417724242e-08 4.121600001000039811e+03 8.348225637370637608e-01
5.446252012715306745e-08 3.987200001000039720e+03 8.492853287139746632e-01
6.313267090045906827e-08 3.852800001000037810e+03 8.631326537843410085e-01
7.318306471533488303e-08 3.719680001000223456e+03 8.763683715804386765e-01
8.483342910635416868e-08 3.594240001000203847e+03 8.889952703282922863e-01
9.833847109213519301e-08 3.471360001000184639e+03 9.010126284053905366e-01
1.139934457278044241e-07 3.352320001000166030e+03 9.124307415309660385e-01
1.321406111421344416e-07 3.235840001000147822e+03 9.232578920017916468e-01
1.531767111831222826e-07 3.123200001000130214e+03 9.335051510484609905e-01
1.775616492619368220e-07 3.013120001000113007e+03 9.431864678356021159e-01
2.058285430278445864e-07 2.906880001000096399e+03 9.523140438014525699e-01
2.385953796952428416e-07 2.803200001000080192e+03 9.609046147128498250e-01
2.765785268383101547e-07 2.702080001000064385e+03 9.689753937874122647e-01
3.206083940341079070e-07 2.604800001000049178e+03 9.765444967885289484e-01
3.716475877580374233e-07 2.510080001000034372e+03 9.836285061482447079e-01
4.308119564445163056e-07 2.416640001000019765e+03 9.902462253852658547e-01
4.993949858121676463e-07 2.328320001000005959e+03 9.964178845741640256e-01
5.788960777982840165e-07 2.241280000999992353e+03 1.002161224028686570e+00
6.710533313529938108e-07 2.156800000999979147e+03 1.007495597755554639e+00
7.778815417658831207e-07 2.076160000999966542e+03 1.012439640062191559e+00
9.017162492883385410e-07 1.996800000999963231e+03 1.017012187729890549e+00
1.045264800068163678e-06 1.920000000999964868e+03 1.021231146638058584e+00
1.211665535720168799e-06 1.845760000999966451e+03 1.025114458030130349e+00
1.404556405569485245e-06 1.774080000999967979e+03 1.028679497765018880e+00
1.887348255004495990e-06 1.710080000999969343e+03 1.031415126762917245e+00
2.187804309818358238e-06 1.674240000999970107e+03 1.022652645026053575e+00
2.536091410457987035e-06 1.634560000999970953e+03 1.008556614671320295e+00
2.939824011377320317e-06 1.589760000999971908e+03 9.922648186863778363e-01
3.407828748692413754e-06 1.543680000999972890e+03 9.750338056976607382e-01
3.950337413215985971e-06 1.493760000999973954e+03 9.576200035822524104e-01
4.579210643798238652e-06 1.442560000999975045e+03 9.406032357684418477e-01
5.308197231487635246e-06 1.388800000999976191e+03 9.243693327994804143e-01
6.153234703569234102e-06 1.335040000999977337e+03 9.090657617261308499e-01
7.132797759023328713e-06 1.281280000999978483e+03 8.944127189506058118e-01
8.268302173101994880e-06 1.227520000999979629e+03 8.810965408690057954e-01
9.584573001419894028e-06 1.173760000999980775e+03 8.690059908876915928e-01
1.111038731970805667e-05 1.121280000999981894e+03 8.580626146922571973e-01
1.287910336492223930e-05 1.068800000999983013e+03 8.479830762288531609e-01
1.492938983235280882e-05 1.018880000999983963e+03 8.391465893675995602e-01
1.730607127305291295e-05 9.689600009999850272e+02 8.310080605897847139e-01
2.006110807415277292e-05 9.216000009999860367e+02 8.238480294261995018e-01
2.695676525846419264e-05 8.870400009999867734e+02 8.189259877197841986e-01
3.124814249561437795e-05 8.704000009999871281e+02 8.090454258519056419e-01
3.622268473475790090e-05 8.512000009999875374e+02 7.937244116003344674e-01
4.198914830146492687e-05 8.307200009999879740e+02 7.765522917356472155e-01
4.867360296434974785e-05 8.076800009999884651e+02 7.580400918118681552e-01
5.642218814541892518e-05 7.833600009999889835e+02 7.384695780791371567e-01
6.540430790481523680e-05 7.564800009999451049e+02 7.202980018396294426e-01
7.581633455056259387e-05 7.280640009999482345e+02 7.021332390643149068e-01
8.788590184377827500e-05 6.983680009999515050e+02 6.846740242740628757e-01
1.368952888354320492e-04 6.722560009999543809e+02 6.648440829340959146e-01
1.586883089084551400e-04 6.668800009999549729e+02 6.497616405919746096e-01
1.839506647631801569e-04 6.604800009999556778e+02 6.320359327537320437e-01
8.058712413948934368e-04 6.620160009999555086e+02 6.280788575444765653e-01
9.341617639497141199e-04 6.702080009999546064e+02 6.325327761699417461e-01
1.082875472408156934e-03 6.791680009999536196e+02 6.351630545492875646e-01
1.255263632055816708e-03 6.901760009999524073e+02 6.386217815604442460e-01
1.455095092751397924e-03 7.009280009999512231e+02 6.404115999185847619e-01
1.686738685706668872e-03 7.129600009999498980e+02 6.425056865030341902e-01
1.955258737406470170e-03 7.255040009999485164e+02 6.448706690749090864e-01
2.266525788849540080e-03 7.370240009999472477e+02 6.462728754017000865e-01
2.627344940718254369e-03 7.488000009999459508e+02 6.480180528746141144e-01
3.045604630433799281e-03 7.610880009999445974e+02 6.507072475657176280e-01
3.530449093747103570e-03 7.859200009999889289e+02 6.603457098202951681e-01
4.092478281320590175e-03 7.936000009999887652e+02 6.626013117493676496e-01
4.743979600993089227e-03 8.051200009999885197e+02 6.659324398981477655e-01
5.499196552211456715e-03 7.961600009999887106e+02 6.594448150110122642e-01
6.374640125670816629e-03 8.038400009999885469e+02 6.628570224126836274e-01
7.389449776162482567e-03 8.038400009999885469e+02 6.618045150318470071e-01
8.565811860427477095e-03 8.076800009999884651e+02 6.642568406801789838e-01
9.929444688146207496e-03 8.038400009999885469e+02 6.616515342036702885e-01
1.151016079053067062e-02 8.038400009999885469e+02 6.624722965936414854e-01
1.334251869916039390e-02 8.025600009999885742e+02 6.625309302144222201e-01
1.546657848462930709e-02 8.025600009999885742e+02 6.618946637942701994e-01
1.792877757302677177e-02 7.987200009999886561e+02 6.590080556406429091e-01
2.078294598786124478e-02 8.025600009999885742e+02 6.625757362011199803e-01
2.409148321323282757e-02 8.025600009999885742e+02 6.628293616989945347e-01
2.792672240751971693e-02 8.064000009999884924e+02 6.648580539915197596e-01
3.237251179281000479e-02 7.795200009999890653e+02 6.614457889193507967e-01
3.752604779332921470e-02 7.639040009999442873e+02 6.621073096146583570e-01
4.349999999999999006e-02 7.628800009999444001e+02 6.731581743064688483e-01
