# nc R M full-envelope
1.200000000000000703e-11 1.948800000100000034e+04 6.270798356107172566e-02
1.391033777057627424e-11 1.911680000099996687e+04 6.766691073060088213e-02
1.612479140762679750e-11 1.875200000099988392e+04 7.298735583769125346e-02
1.869177458001455290e-11 1.839360000099980243e+04 7.869239830060235918e-02
2.166740816162281112e-11 1.802880000099971949e+04 8.480175094599733121e-02
2.511674717842618530e-11 1.766400000099963654e+04 9.134318735448450355e-02
2.911520307917316773e-11 1.729920000099955359e+04 9.834309362460928738e-02
3.375019242418507542e-11 1.694080000099947210e+04 1.058306728835746724e-01
3.912304803686321175e-11 1.658240000099939061e+04 1.138318748704628819e-01
4.535123440060399586e-11 1.623040000099935241e+04 1.223771624928852164e-01
5.257091573541516385e-11 1.587840000099937242e+04 1.314937363358778810e-01
6.093993289901063552e-11 1.552640000099939243e+04 1.412110022514970475e-01
7.064125419512423045e-11 1.518080000099941208e+04 1.515599169309419791e-01
8.188697553260963426e-11 1.484160000099943136e+04 1.625693896580910347e-01
9.492295738912657007e-11 1.450240000099945064e+04 1.742663380783225913e-01
1.100341999553974017e-10 1.416960000099946956e+04 1.866796683469036933e-01
1.275510739745587948e-10 1.384320000099948811e+04 1.998353784018502555e-01
1.478565434988233020e-10 1.352320000099950630e+04 2.137576512156853514e-01
1.713945384715445297e-10 1.320320000099952449e+04 2.284671848475398059e-01
1.986796601809343756e-10 1.288960000099954232e+04 2.439843443298551073e-01
2.303084317716757172e-10 1.258240000099955978e+04 2.603248398463486879e-01
2.669723397796450207e-10 1.227520000099957724e+04 2.774994604136319931e-01
3.094729518113263739e-10 1.198080000099959398e+04 2.955176646576938571e-01
3.587394408794017977e-10 1.168640000099961071e+04 3.143798464538958837e-01
4.158488995216794783e-10 1.139840000099962708e+04 3.340839410915638630e-01
4.820498878224180149e-10 1.111040000099964345e+04 3.546201956651830467e-01
5.587897301565193508e-10 1.083520000099965910e+04 3.759747748896345998e-01
6.477461574338625229e-10 1.056000000099967474e+04 3.981242037250883881e-01
7.508639866248277741e-10 1.029120000099969002e+04 4.210405172322021494e-01
8.703976394760677762e-10 1.002240000099970530e+04 4.446873045450633333e-01
1.008960429985364126e-09 9.766400000999719850e+03 4.690233962233525955e-01
1.169581698186856423e-09 9.510400000999734402e+03 4.939984376348441897e-01
1.355773039338613328e-09 9.260800000999748590e+03 5.195573076049849748e-01
1.571605076453414028e-09 9.011200000999762779e+03 5.456381588493656176e-01
1.821796454618277119e-09 8.774400000999776239e+03 5.721753485313304521e-01
2.111817002748212178e-09 8.537600000999789700e+03 5.990963038882277658e-01
2.448007318156144684e-09 8.300800000999803160e+03 6.263258927915821284e-01
2.837717388366210502e-09 8.076800000999814984e+03 6.537868099420318657e-01
3.289467280800961155e-09 7.852800000999827716e+03 6.813981137190511239e-01
3.813133413433367128e-09 7.628800000999840449e+03 7.090784736706211566e-01
4.420164478760714560e-09 7.417600000999852455e+03 7.367468382848904040e-01
5.123831741755413303e-09 7.206400000999864460e+03 7.643225304541698684e-01
5.939519183951492086e-09 6.995200000999876465e+03 7.917267418821911651e-01
6.885059836965229340e-09 6.796800000999887743e+03 8.188826490760592325e-01
7.981125658567956619e-09 6.598400000999899021e+03 8.457173598750520327e-01
9.251679475007767933e-09 6.400000000999910299e+03 8.721618414479274106e-01
1.072449887020547793e-08 6.208000000999921212e+03 8.981509839640520187e-01
1.243178347539350318e-08 6.022400000999931763e+03 9.236251716713327342e-01
1.441085893611603945e-08 5.843200000999941949e+03 9.485297204542062488e-01
1.670499294712511717e-08 5.664000000999952135e+03 9.728158247735797515e-01
1.936434119580038761e-08 5.491200000999961958e+03 9.964404082744616753e-01
2.244704389485571896e-08 5.318400000999971780e+03 1.019365287958802879e+00
2.602049687736629230e-08 5.152000000999981239e+03 1.041559101169301504e+00
3.016282504353250788e-08 4.992000000999990334e+03 1.062995555648300838e+00
3.496459037252782726e-08 4.832000000999999429e+03 1.083653570245459052e+00
4.053077184097517000e-08 4.678400001000008160e+03 1.103517811153756689e+00
4.698306053417724242e-08 4.524800001000016891e+03 1.122577380629466104e+00
5.446252012715306745e-08 4.377600001000025259e+03 1.140826690473375260e+00
6.313267090045906827e-08 4.230400001000033626e+03 1.158263683021625967e+00
7.318306471533488303e-08 4.089600001000041175e+03 1.174891376733254278e+00
8.483342910635416868e-08 3.955200001000039265e+03 1.190715677436905651e+00
